Rating,Title,Color,Brand,Link_Web,Num_Validation,E_comerce,Price
"4,7",,,,https://www.magazineluiza.com.br/smart-tv-led-32-sony-kdl-32w655d-full-hd-wi-fi-conversor-digital-2-hdmi-2-usb/p/193393900/et/elit/,79,Magazine Luiza,
1,,,,https://www.magazineluiza.com.br/smart-tv-led-43-polegadas-samsung-full-hd-2-hdmi-un43j5200agxzd-samsung-audio-e-video/p/7445460/et/elit/,1,Magazine Luiza,
,,,,https://www.magazineluiza.com.br/notebook-dell-inspiron-i15-3576-a70-intel-core-i7-8gb-2tb-led-156-microsoft-office-365-personal/p/229085100/in/nodl/,,Magazine Luiza,
,,,,https://www.magazineluiza.com.br/notebook-acer-aspire-5-a515-51g-c97b-intel-core-i5-8gb-1tb-led-pc-101-jogos-inesqueciveis/p/229149500/in/nota/,,Magazine Luiza,
,,,,https://www.magazineluiza.com.br/iphone-6-apple-64gb-cinza-espacial-4g-tela-4-7-retina-camera-8mp-ios-10-proc-m8/p/213981800/te/teip/,,Magazine Luiza,
,,,,https://www.magazineluiza.com.br/iphone-8-apple-256gb-prateado-47-12mp-ios/p/220986300/te/ipn8/,,Magazine Luiza,
,,,,https://www.magazineluiza.com.br/notebook-samsung-flash-f30-intel-celeron-n400-windows-10-home-4gb-64gb-ssd-grafite/p/chhgccda68/in/ntmk/,,Magazine Luiza,
,,,,https://www.magazineluiza.com.br/smart-tv-led-43-polegadas-semp-toshiba-43s3900-full-hd-conversor-digital-2-hdmi-1-usb-wi-fi-60hz/p/5500871/et/tves/,,Magazine Luiza,
,,,,https://www.magazineluiza.com.br/notebook-acer-aspire-e1-core-i5-4gb-hd-500gb-15-6-polegadas-windows-8-e1572intelci5/p/7623533/in/nota/,,Magazine Luiza,
,,,,https://www.magazineluiza.com.br/smartphone-zenfone-asus-max-shot-64gb-dual-chip-android-tela-6-2-polegadas-4g-camera-12mp-5mp-8mp-asus-telecom/p/bfb6d323ac/te/tcsp/,,Magazine Luiza,
,,,,https://www.magazineluiza.com.br/notebook-intel-core-i5-7200u-8gb-1tb-nxgjqal004-f5-573g-50ks-acer/p/7731430/in/ntmk/,,Magazine Luiza,
,,,,https://www.magazineluiza.com.br/notebook-acer-aspire-3-intel-core-i3-4gb-1tb-tela-156-intel-hd-graphics-620-e-windows-10-home/p/kbkg7719g0/in/nota/,,Magazine Luiza,
,,,,https://www.magazineluiza.com.br/smartphone-zenfone-max-shot-dual-chip-android-6-2-polegadas-qualcomm-octa-core-64gb-4g-camera-traseira-12mp-5mp-8mp-asus/p/ek661k1g62/te/tcsp/,,Magazine Luiza,
"4,9",,,,https://www.magazineluiza.com.br/iphone-7-plus-apple-32gb-prateado-55-12mp-ios/p/217029500/te/ipn7/,79,Magazine Luiza,
